Kredo bank,credit agricole,ukrsibbank,Ukrgazbank,Mega bank,sense bank,raifizen bank aval,urksocbank,Procredit bank,oschad bank,ukreximbank,Pivdenny,Urk Buisness Bank,praveks bank,otp bank,Chreschatyk,vtb bank,Prominvestbank,pumb,Idea bank,MTB bank ,Industrialbank,International investment bank,Sberbank,Bank credit Dnepr,Taskombank,Diamond bank,Abank,Privatbank,Universal Bank,Fidobank,Akvant bank,Buisness bank,Myhailovsky,Ukrinbank,Platinum bank,Fortuna bank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.11,3.56,4.11,3.89,3.22,4.22,4.44,4.33,2.33,4.89,4.78,3.44,2.22,1.89,3.67,3.33,3.78,4.67,4,1.11,1.33,1.44,2,4.56,2.89,1.78,2.56,1.22,5,2.67,3,1.67,2.11,1,2.44,2.78,1.56
32.27,23.14,27.34,29.44,21.68,28.38,30.52,34.62,42.51,30.52,16.57,28.22,28.99,55.34,35.22,44.95,18.15,15.39,39.51,72.98,41.12,53.17,28.29,19.21,50,33.32,29.27,78.96,56.13,30.96,32.05,46.05,30.3,61.22,55.65,68.13,39.72
4,5,5,4,5,5,4,4,2,4,5,5,5,1,4,2,5,5,3,1,2,1,5,5,2,4,4,1,1,4,4,2,4,1,1,1,3
0.65%,1.33%,2.79%,2.44%,0.47%,3.2%,4.2%,3.41%,0.74%,12.03%,6.25%,1.23%,0.51%,0.49%,2.16%,1.2%,1.16%,2.16%,3.55%,0.49%,0.28%,0.31%,0.37%,2.8%,0.99%,0.3%,0.48%,0.57%,34.3%,0.52%,0.57%,0.38%,0.4%,0.36%,0.78%,1.26%,0.3%
3,4,5,5,2,5,5,5,3,5,5,4,2,2,5,4,4,5,5,2,1,1,1,5,3,1,2,3,5,2,3,1,1,1,3,4,1
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
4.5,2.5,1.5,4,3.5,3,1.5,1.5,4.5,5,2,4,4,2,3.5,5,4.5,1.5,3,4,3.5,3,2.5,1,3,3.5,2.5,5,3,2,3.5,2.5,4,4.5,2,2,1.5
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
4.5,3,2.5,4,3,2.5,2.5,2.5,4.5,4,3,4,5,2,3.5,4.5,4,2.5,3,3,3.5,2.5,2.5,1.5,3.5,3,3,5,4,2,4,2.5,4,5,2,2,1
с 1992-03-31,с 1993-02-10,с 1991-10-28,с 1993-07-21,с 1991-10-28,с 1993-03-24,с 1992-03-27,с 1991-09-27,с 2000-12-28,с 1991-12-31,с 1992-01-23,с 1993-12-03,с 2002-10-17,с 1992-12-29,с 1998-03-02,с 1993-05-19,с 1992-11-11,с 1992-08-26,с 1991-12-23,с 1991-10-22,с 1993-11-05,с 1991-10-16,с 2008-03-11,с 2001-06-15,с 1993-07-07,с 1991-10-21,с 1993-11-17,с 1992-10-30,с 1992-03-19,с 1994-01-20,с 1991-10-02,с 2009-03-05,с 2005-08-09,с 2013-06-14,с 1991-10-02,с 2005-01-13,с 2002-10-17
5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,2,3,1,5,3,4
0,0,0,нв-/рк-/ва-,0,тд-,0,0,0,реструкт,реструкт,0,0,0,0,0,0,ва-,тд-,0,0,0,0,0,0,0,0,0,реструкт,0,0,0,0,0,нв,нв,нв
5,5,5,2,5,4,5,5,5,3,3,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,1,1
4.22,4.18,4.12,3.48,3.38,3.08,3.82,3.65,3.55,3.63,3.22,3.37,3.33,2.98,2.75,2.15,2.72,3.15,2.9,2.57,2.9,2.72,3,2.68,1.63,2.77,2.73,2.38,2.55,2.9,2.8,1.9,2.67,2.35,2.12,1.62,2.23
4.4,3.9,3.8,4,3.7,3.9,3.8,3.8,4.2,4.4,3.6,4.4,4,3.2,4.2,4.7,4.5,3.6,4,3.8,3.6,3.3,2.6,3.3,3.9,3.5,3.5,4.6,4,3.2,4.1,2.6,3.4,3.3,2.6,2.4,1.7
69.23 млн грн,-111.29 млн грн,-135.28 млн грн,31.37 млн грн,2.74 млн грн,106.36 млн грн,-542.58 млн грн,-245.1 млн грн,66.81 млн грн,419.84 млн грн,36.39 млн грн,61.17 млн грн,49 млн грн,-60.53 млн грн,101.9 млн грн,110.08 млн грн,101.46 млн грн,-183.1 млн грн,144.7 млн грн,112.99 млн грн,5.95 млн грн,-0.36 млн грн,-28.19 млн грн,-21.68 млн грн,44.09 млн грн,61.72 млн грн,-38.03 млн грн,141.92 млн грн,2214.04 млн грн,-28.68 млн грн,85.17 млн грн,14.5 млн грн,2.66 млн грн,62.62 млн грн,22.15 млн грн,-45.3 млн грн,-20.51 млн грн
0.18 млн долл,-1.02 млн долл,-11.24 млн долл,8.47 млн долл,-2.21 млн долл,-24.66 млн долл,-16.95 млн долл,-17.27 млн долл,3.11 млн долл,40.89 млн долл,-34.9 млн долл,-2.01 млн долл,7.56 млн долл,-4.04 млн долл,-9.53 млн долл,0.13 млн долл,-2.87 млн долл,-8.2 млн долл,-25.39 млн долл,-3.37 млн долл,-0.24 млн долл,-0.98 млн долл,-0.85 млн долл,-60.13 млн долл,-4.44 млн долл,-5.32 млн долл,-0.15 млн долл,2.29 млн долл,-35.52 млн долл,-4.45 млн долл,-3.05 млн долл,-7.56 млн долл,0.53 млн долл,3.61 млн долл,-26.81 млн долл,-5.3 млн долл,-14.05 млн долл
5.45% грн,-6.1% грн,-3.2% грн,0.76% грн,0.32% грн,2.21% грн,-6.18% грн,-4.67% грн,5.86% грн,1.51% грн,0.51% грн,4.5% грн,16.63% грн,-6.92% грн,4.4% грн,4.88% грн,6.6% грн,-5.1% грн,3.17% грн,8.79% грн,1.95% грн,-0.08% грн,-14.12% грн,-1.33% грн,3.52% грн,20.49% грн,-4.74% грн,14.11% грн,3.99% грн,-4.9% грн,9.44% грн,3.36% грн,1.89% грн,7.4% грн,1.67% грн,-1.59% грн,-20.63% грн
0.39% долл,-0.72% долл,-3.96% долл,4.18% долл,-5.6% долл,-7.57% долл,-5.15% долл,-4.95% долл,4.9% долл,6.42% долл,-4.71% долл,-1.44% долл,12.47% долл,-8.52% долл,-3.73% долл,0.15% долл,-2.4% долл,-3.96% долл,-6.44% долл,-17.99% долл,-0.73% долл,-3.12% долл,-1.58% долл,-13.35% долл,-4.13% долл,-14.03% долл,-0.34% долл,5.85% долл,-1.17% долл,-6.8% долл,-5.91% долл,-14.95% долл,0.89% долл,26.41% долл,-28.86% долл,-6.41% долл,-23.47% долл
